Player,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Keith Yandle,FLA,D,33,4,25,29,6,8,67,0,2,13,0,0,10,33
Alex Chiasson,EDM,RW,31,4,8,12,-4,18,46,1,3,4,0,0,27,11
Rocco Grimaldi,NSH,C,29,4,11,15,6,4,47,1,0,0,0,0,10,4
Jason Dickinson,DAL,C,31,4,6,10,5,2,39,1,0,0,0,1,48,24
Brady Skjei,NYR,D,32,4,9,13,2,31,69,0,0,0,0,1,50,40
Pierre-Edouard Bellemare,COL,C,32,4,6,10,8,10,30,0,0,0,0,1,17,22
Adrian Kempe,LA,C,34,4,7,11,-4,19,67,0,1,1,0,1,36,4
Lucas Wallmark,CAR,C,33,4,6,10,-3,10,42,0,0,2,0,0,29,14
Sean Walker,LA,D,35,4,10,14,5,14,62,0,0,1,0,0,40,50
Ryan Pulock,NYI,D,31,4,11,15,1,6,65,2,1,3,0,0,36,60
Luke Glendening,DET,RW,24,4,1,5,-10,4,34,1,0,0,1,0,71,27
Ryan Hartman,MIN,RW,34,4,5,9,2,42,49,1,0,0,0,0,20,27
Nick Foligno,CLS,LW,30,4,9,13,-10,26,55,0,2,1,0,1,94,19
Blake Comeau,DAL,LW,21,4,3,7,-2,22,35,0,0,0,1,0,45,4
Kyle Clifford,LA,LW,34,4,5,9,2,36,53,0,0,0,0,0,58,7
Alexander Edler,VAN,D,27,4,11,15,-5,34,61,1,1,5,0,0,54,80
Nino Niederreiter,CAR,RW,33,4,9,13,-6,22,51,1,2,2,0,0,22,11
Teddy Blueger,PIT,C,33,4,5,9,-2,17,48,1,0,0,0,2,44,18
Jimmy Vesey,BUF,LW,31,4,6,10,9,9,49,1,0,0,1,0,15,9
Alexander Nylander,CHI,RW,33,4,8,12,-8,8,51,1,0,2,0,0,13,8
Casey Mittelstadt,BUF,C,31,4,5,9,-5,2,34,1,1,1,0,0,11,8
Zach Aston-Reese,PIT,C,33,4,3,7,0,18,62,0,0,0,1,0,75,19
Jack Hughes,NJ,C,29,4,8,12,-8,6,58,1,3,2,0,0,6,10
Sam Lafferty,PIT,RW,26,4,6,10,6,15,35,1,0,0,0,0,56,13
Scott Laughton,PHI,C,19,4,5,9,0,0,24,1,0,0,0,0,45,10
Ben Chiarot,MON,D,33,4,7,11,8,18,72,2,0,0,0,0,85,57
